Year,OSHPD ID,Count
2009,10735,15583
2009,10739,103047
2009,10776,57969
2009,10782,9035
2009,10805,47242
2009,10844,42561
2009,10846,130317
2009,10856,90619
2009,10858,68114
2009,10887,20086
2009,10937,80910
2009,10967,43459
2009,10987,68460
2009,13619,17297
2009,13687,7103
2009,14034,28724
2009,14050,47799
2009,14207,7348
2009,14226,3358
2009,34002,9057
2009,40802,3775
2009,40875,22186
2009,40937,38308
2009,40962,71247
2009,44006,5211
2009,50932,5804
2009,60870,4840
2009,70904,30832
2009,70924,44733
2009,70934,32308
2009,70988,94889
2009,70990,72651
2009,71018,48016
2009,74017,24180
2009,74039,19210
2009,74097,31459
2009,84001,8552
2009,90793,11166
2009,90933,27771
2009,94002,2440
2009,100005,37797
2009,100697,22544
2009,100717,209308
2009,100745,7862
2009,100797,7722
2009,100899,116569
2009,104023,15775
2009,104047,4540
2009,104062,32304
2009,104089,5118
2009,105029,10991
2009,110889,1288
2009,121002,8549
2009,121031,5272
2009,121051,6959
2009,121080,32136
2009,124004,4246
2009,130699,27297
2009,130760,23506
2009,141273,3704
2009,141338,4599
2009,150706,32677
2009,150722,79663
2009,150736,58074
2009,150737,21235
2009,150761,67490
2009,150775,22668
2009,150782,12278
2009,150788,72512
2009,150808,3708
2009,154022,17491
2009,154101,15211
2009,154147,3714
2009,160702,1368
2009,160725,36325
2009,160787,14410
2009,171049,6895
2009,171395,7652
2009,184008,4821
2009,190017,35740
2009,190020,26573
2009,190034,115044
2009,190045,631
2009,190049,22019
2009,190052,21725
2009,190053,66736
2009,190066,27142
2009,190081,39260
2009,190110,59697
2009,190125,79169
2009,190137,22385
2009,190148,77779
2009,190150,23386
2009,190159,17114
2009,190163,30595
2009,190170,86082
2009,190176,57113
2009,190184,49468
2009,190196,22782
2009,190197,12242
2009,190198,37272
2009,190200,48501
2009,190232,38027
2009,190240,37796
2009,190243,52193
2009,190256,31687
2009,190280,17999
2009,190298,22709
2009,190305,27173
2009,190307,28910
2009,190315,67185
2009,190317,12952
2009,190323,116222
2009,190328,13220
2009,190352,18286
2009,190380,21769
2009,190382,111673
2009,190385,85080
2009,190392,91910
2009,190400,141948
2009,190410,22109
2009,190413,44827
2009,190422,113286
2009,190429,117927
2009,190430,57950
2009,190431,55551
2009,190432,53016
2009,190434,47428
2009,190449,63966
2009,190455,28768
2009,190462,20989
2009,190468,45490
2009,190470,97282
2009,190475,19153
2009,190500,16326
2009,190517,66249
2009,190521,52337
2009,190522,59228
2009,190524,33935
2009,190525,117381
2009,190529,90903
2009,190534,33093
