Year,OSHPD ID,Admission_Type,Count
2009,154022,Scheduled,1478
2009,154101,Scheduled,685
2009,154101,Unscheduled,3136
2009,154101,Unknown,2
2009,154147,Scheduled,6
2009,154147,Unscheduled,588
2009,160702,Scheduled,7
2009,160702,Unscheduled,330
2009,160702,Unknown,2
2009,160725,Scheduled,1365
2009,160725,Unscheduled,8057
2009,160725,"Infant, under 24 hrs old",1228
2009,160787,Scheduled,565
2009,160787,Unscheduled,3682
2009,160787,"Infant, under 24 hrs old",2074
2009,171049,Scheduled,230
2009,171049,Unscheduled,1496
2009,171049,"Infant, under 24 hrs old",198
2009,171395,Scheduled,497
2009,171395,Unscheduled,1731
2009,171395,"Infant, under 24 hrs old",341
2009,184008,Scheduled,75
2009,184008,Unscheduled,1310
2009,184008,"Infant, under 24 hrs old",314
2009,190017,Scheduled,963
2009,190017,Unscheduled,2911
2009,190017,Unknown,7
2009,190020,Unscheduled,4019
2009,190034,Scheduled,2141
2009,190034,Unscheduled,22244
2009,190034,"Infant, under 24 hrs old",5599
2009,190045,Scheduled,9
2009,190045,Unscheduled,26
2009,190049,Scheduled,724
2009,190052,Scheduled,696
2009,190053,Scheduled,2581
2009,190053,Unscheduled,8897
2009,190053,"Infant, under 24 hrs old",2925
2009,190053,Unknown,3
2009,190066,Scheduled,1708
2009,190066,Unscheduled,3152
2009,190066,"Infant, under 24 hrs old",1267
2009,190066,Unknown,38
2009,190081,Scheduled,2049
2009,190081,Unscheduled,7243
2009,190081,"Infant, under 24 hrs old",1307
2009,190110,Scheduled,1864
2009,190110,Unscheduled,6382
2009,190125,Scheduled,809
2009,190125,Unscheduled,15345
2009,190125,"Infant, under 24 hrs old",4550
2009,190137,Scheduled,1344
2009,190137,Unknown,8
2009,190148,Scheduled,2424
2009,190148,Unscheduled,16351
2009,190148,"Infant, under 24 hrs old",1767
2009,190150,Scheduled,18
2009,190150,Unscheduled,1059
2009,190159,Scheduled,856
2009,190159,Unscheduled,2728
2009,190163,Unscheduled,4641
2009,190170,Scheduled,2929
2009,190170,Unscheduled,7951
2009,190170,"Infant, under 24 hrs old",197
2009,190176,Scheduled,4198
2009,190176,Unscheduled,2142
2009,190176,Unknown,1
2009,190184,Scheduled,2
2009,190184,Unscheduled,6757
2009,190196,Scheduled,887
2009,190197,Scheduled,131
2009,190197,Unscheduled,3839
2009,190197,Unknown,29
2009,190198,Scheduled,1007
2009,190198,Unscheduled,4648
2009,190198,"Infant, under 24 hrs old",318
2009,190200,Scheduled,1354
2009,190200,Unscheduled,6486
2009,190200,"Infant, under 24 hrs old",2111
2009,190200,Unknown,1
2009,190232,Unscheduled,4521
2009,190232,Unknown,58
2009,190240,Scheduled,458
2009,190240,Unscheduled,7213
2009,190243,Scheduled,2032
2009,190243,Unscheduled,11261
2009,190243,"Infant, under 24 hrs old",1495
2009,190243,Unknown,5
2009,190256,Scheduled,883
