Year,OSHPD ID,Age Groups,Count
2009,60870,30-39,95
2009,60870,40-49,91
2009,60870,50-59,115
2009,60870,60-69,109
2009,60870,70-79,158
2009,60870,80+,280
2009,70904,19-Oct,26
2009,70904,20-29,230
2009,70904,30-39,349
2009,70904,40-49,715
2009,70904,50-59,1229
2009,70904,60-69,1108
2009,70904,70-79,1120
2009,70904,80+,1500
2009,70924,Under 1,2525
2009,70924,19-Oct,422
2009,70924,20-29,2298
2009,70924,30-39,1535
2009,70924,40-49,1501
2009,70924,50-59,1603
2009,70924,60-69,1012
2009,70924,70-79,550
2009,70924,80+,402
2009,70934,Under 1,1065
2009,70934,9-Jan,158
2009,70934,19-Oct,301
2009,70934,20-29,862
2009,70934,30-39,761
2009,70934,40-49,938
2009,70934,50-59,1006
2009,70934,60-69,949
2009,70934,70-79,1063
2009,70934,80+,1334
2009,70988,Under 1,2958
2009,70988,9-Jan,305
2009,70988,19-Oct,549
2009,70988,20-29,1617
2009,70988,30-39,2472
2009,70988,40-49,1618
2009,70988,50-59,1998
2009,70988,60-69,2128
2009,70988,70-79,2413
2009,70988,80+,3962
2009,70990,Under 1,3784
2009,70990,9-Jan,513
2009,70990,19-Oct,501
2009,70990,20-29,1532
2009,70990,30-39,2457
2009,70990,40-49,1056
2009,70990,50-59,1630
2009,70990,60-69,2070
2009,70990,70-79,2266
2009,70990,80+,3158
2009,70990,Unknown,1
2009,71018,9-Jan,8
2009,71018,19-Oct,95
2009,71018,20-29,297
2009,71018,30-39,505
2009,71018,40-49,1110
2009,71018,50-59,1576
2009,71018,60-69,1765
2009,71018,70-79,1731
2009,71018,80+,1968
2009,74017,Under 1,835
2009,74017,9-Jan,56
2009,74017,19-Oct,71
2009,74017,20-29,365
2009,74017,30-39,833
2009,74017,40-49,618
2009,74017,50-59,656
2009,74017,60-69,655
2009,74017,70-79,535
2009,74017,80+,955
2009,74039,9-Jan,89
2009,74039,19-Oct,1022
2009,74039,20-29,315
2009,74039,30-39,331
2009,74039,40-49,425
2009,74039,50-59,379
2009,74039,60-69,172
2009,74039,70-79,31
2009,74039,80+,12
2009,74097,Under 1,1355
2009,74097,19-Oct,176
2009,74097,20-29,907
2009,74097,30-39,943
2009,74097,40-49,804
2009,74097,50-59,1061
2009,74097,60-69,1281
2009,74097,70-79,1334
2009,74097,80+,1185
2009,84001,Under 1,377
2009,84001,9-Jan,48
2009,84001,19-Oct,107
2009,84001,20-29,317
2009,84001,30-39,171
2009,84001,40-49,233
2009,84001,50-59,307
2009,84001,60-69,335
2009,84001,70-79,379
2009,84001,80+,502
2009,90793,Under 1,504
2009,90793,9-Jan,65
2009,90793,19-Oct,112
2009,90793,20-29,404
2009,90793,30-39,335
2009,90793,40-49,248
2009,90793,50-59,421
2009,90793,60-69,419
2009,90793,70-79,258
2009,90793,80+,272
2009,90933,Under 1,598
2009,90933,9-Jan,13
2009,90933,19-Oct,114
2009,90933,20-29,584
2009,90933,30-39,373
2009,90933,40-49,487
2009,90933,50-59,745
2009,90933,60-69,885
2009,90933,70-79,1005
2009,90933,80+,1661
2009,94002,19-Oct,10
2009,94002,20-29,109
2009,94002,30-39,68
2009,94002,40-49,75
2009,94002,50-59,56
2009,94002,60-69,17
2009,94002,70-79,1
2009,94002,80+,1
2009,100005,Under 1,3615
2009,100005,19-Oct,324
2009,100005,20-29,2408
2009,100005,30-39,2059
2009,100005,40-49,1086
2009,100005,50-59,1020
2009,100005,60-69,932
2009,100005,70-79,738
2009,100005,80+,947
2009,100005,Unknown,10
2009,100697,Under 1,8
2009,100697,9-Jan,7
2009,100697,19-Oct,13
2009,100697,20-29,87
2009,100697,30-39,167
2009,100697,40-49,249
2009,100697,50-59,275
2009,100697,60-69,168
2009,100697,70-79,114
2009,100697,80+,190
2009,100717,Under 1,6920
2009,100717,9-Jan,353
2009,100717,19-Oct,2227
2009,100717,20-29,7059
2009,100717,30-39,4999
2009,100717,40-49,4982
2009,100717,50-59,5742
2009,100717,60-69,4165
2009,100717,70-79,2976
2009,100717,80+,2738
2009,100745,30-39,2
2009,100745,40-49,3
2009,100745,50-59,6
2009,100745,60-69,8
2009,100745,70-79,9
2009,100745,80+,17
2009,100797,Under 1,1608
2009,100797,9-Jan,19
2009,100797,19-Oct,281
2009,100797,20-29,1008
2009,100797,30-39,474
2009,100797,40-49,146
2009,100797,50-59,112
2009,100797,60-69,98
2009,100797,70-79,105
2009,100797,80+,205
2009,100899,Under 1,3720
2009,100899,19-Oct,651
2009,100899,20-29,3139
2009,100899,30-39,2120
2009,100899,40-49,2009
2009,100899,50-59,2935
2009,100899,60-69,3741
